"","text"
"107","the food was delicious our bartender was attentive and personable and we got a great deal"
"108","the ambience is wonderful and there is music playing"
"109","will go back next trip out"
"110","sooooo good"
"111","real sushi lovers lets be honest  yama is not that good"
"112","at least min passed in between us ordering and the food arriving and it wasnt that busy"
"113","this is a really fantastic thai restaurant which is definitely worth a visit"
"114","nice spicy and tender"
"115","good prices"
"116","check it out"
"117","it was pretty gross"
"118","ive had better atmosphere"
"119","kind of hard to mess up a steak but they did"
"120","although i very much liked the look and sound of this place the actual experience was a bit disappointing"
"121","i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine"
"122","worst service to boot but that is the least of their worries"
"123","service was fine and the waitress was friendly"
"124","the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten"
"125","we thought youd have to venture further away to get good sushi but this place really hit the spot that night"
"126","host staff were for lack of a better word bitches"
"127","bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that"
"128","phenomenal food service and ambiance"
"129","i wouldnt return"
"130","definitely worth venturing off the strip for the pork belly will return next time im in vegas"
"131","this place is way too overpriced for mediocre food"
"132","penne vodka excellent"
"133","they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers"
"134","the management is rude"
"135","delicious nyc bagels good selections of cream cheese real lox with capers even"
"136","great subway in fact its so good when you come here every other subway will not meet your expectations"
"137","i had a seriously solid breakfast here"
"138","this is one of the best bars with food in vegas"
"139","he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas"
"140","my drink was never empty and he made some really great menu suggestions"
"141","dont do it"
"142","the waiter wasnt helpful or friendly and rarely checked on us"
"143","my husband and i ate lunch here and were very disappointed with the food and service"
"144","and the red curry had so much bamboo shoots and wasnt very tasty to me"
"145","nice blanket of moz over top but i feel like this was done to cover up the subpar food"
"146","the bathrooms are clean and the place itself is well decorated"
"147","the menu is always changing food quality is going down  service is extremely slow"
"148","the service was a little slow  considering that were served by  people servers so the food was coming in a slow pace"
"149","i give it  thumbs down"
"150","we watched our waiter pay a lot more attention to other tables and ignore us"
"151","my fianc and i came in the middle of the day and we were greeted and seated right away"
"152","this is a great restaurant at the mandalay bay"
"153","we waited for forty five minutes in vain"
"154","crostini that came with the salad was stale"
"155","some highlights  great quality nigiri here"
"156","the staff is friendly and the joint is always clean"
"157","this was a different cut than the piece the other day but still wonderful and tender s well as well flavored"
"158","i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago"
"159","this place is good"
"160","unfortunately we must have hit the bakery on leftover day because everything we ordered was stale"
"161","i came back today since they relocated and still not impressed"
"162","i was seated immediately"
"163","their menu is diverse and reasonably priced"
"164","avoid at all cost"
"165","restaurant is always full but never a wait"
"166","delicious"
"167","this place is handsdown one of the best places to eat in the phoenix metro area"
"168","so dont go there if you are looking for good food"
"169","ive never been treated so bad"
"170","bacon is hella salty"
"171","we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste"
"172","this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed"
"173","the waitresses are very friendly"
"174","lordy the khao soi is a dish that is not to be missed for curry lovers"
"175","everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter"
"176","perhaps i caught them on an off night judging by the other reviews but im not inspired to go back"
"177","the service here leaves a lot to be desired"
"178","the atmosphere is modern and hip while maintaining a touch of coziness"
"179","not a weekly haunt but definitely a place to come back to every once in a while"
"180","we literally sat there for  minutes with no one asking to take our order"
"181","the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor"
"182","i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack"
"183","i dressed up to be treated so rudely"
"184","it was probably dirt"
"185","love this place hits the spot when i want something healthy but not lacking in quantity or flavor"
"186","i ordered the lemon raspberry ice cocktail which was also incredible"
"187","the food sucked which we expected but it sucked more than we could have imagined"
"188","interesting decor"
"189","what i really like there is the crepe station"
"190","also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good"
"191","you can watch them preparing the delicious food"
"192","both of the egg rolls were fantastic"
"193","when my order arrived one of the gyros was missing"
"194","i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied"
"195","im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine"
"196","the best place to go for a tasty bowl of pho"
"197","the live music on fridays totally blows"
"198","ive never been more insulted or felt disrespected"
"199","very friendly staff"
"200","it is worth the drive"
"201","i had heard good things about this place but it exceeding every hope i could have dreamed of"
"202","food was great and so was the serivce"
"203","the warm beer didnt help"
"204","great brunch spot"
"205","service is friendly and inviting"
"206","very good lunch spot"
"207","ive lived here since  and this was the first and last time ive stepped foot into this place"
"208","the worst experience ever"
"209","must have been an off night at this place"
"210","the sides are delish  mixed mushrooms yukon gold puree white corn  beateous"
"211","if that bug never showed up i would have given a  for sure but on the other side of the wall where this bug was climbing was the kitchen"
"212","for about  minutes we were waiting for her salad when we realized that it wasnt coming any time soon"
"213","my friend loved the salmon tartar"
"214","wont go back"
"215","extremely tasty"
"216","waitress was good though"
"217","soggy and not good"
"218","the jamaican mojitos are delicious"
"219","which are small and not worth the price"
"220"," the food is rich so order accordingly"
"221","the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see"
"222","the service was a bit lacking"
"223","lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables"
"224","hopefully this bodes for them going out of business and someone who can cook can come in"
"225","it was either too cold not enough flavor or just bad"
"226","i loved the bacon wrapped dates"
"227","this is an unbelievable bargain"
"228","the folks at otto always make us feel so welcome and special"
"229","as for the mains also uninspired"
"230","this is the place where i first had pho and it was amazing"
"231","this wonderful experience made this place a muststop whenever we are in town again"
"232","if the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people"
"233","very very fun chef"
"234","ordered a double cheeseburger  got a single patty that was falling apart picture uploaded yeah still sucks"
"235","great place to have a couple drinks and watch any and all sporting events as the walls are covered with tvs"
"236","if it were possible to give them zero stars theyd have it"
"237","the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayowell none of the rolls had sauces on them"
"238","id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing"
"239","if she had not rolled the eyes we may have stayed not sure if we will go back and try it again"
"240","everyone is very attentive providing excellent customer service"
"241","horrible  dont waste your time and money"
"242","now this dish was quite flavourful"
"243","by this time our side of the restaurant was almost empty so there was no excuse"
"244","it wasnt busy either also the building was freezing cold"
"245","like the other reviewer said you couldnt pay me to eat at this place again"
"246","drinks took close to  minutes to come out at one point"
"247","seriously flavorful delights folks"
"248","much better than the other ayce sushi place i went to in vegas"
"249","the lighting is just dark enough to set the mood"
"250","based on the subpar service i received and no effort to show their gratitude for my business i wont be going back"
"251","owners are really great people"
"252","there is nothing privileged about workingeating there"
"253","the greek dressing was very creamy and flavorful"
"254","overall i dont think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too"
"255","now the pizza itself was good the peanut sauce was very tasty"
"256","we had  at our table and the service was pretty fast"
"257","fantastic service here"
"258","i as well wouldve given godfathers zero stars if possible"
"259","they know how to make them here"
"260","very tough and very short on flavor"
"261","i hope this place sticks around"
"262","i have been in more than a few bars in vegas and do not ever recall being charged for tap water"
"263","the restaurant atmosphere was exquisite"
"264","good service very clean and inexpensive to boot"
"265","the seafood was fresh and generous in portion"
"266","plus its only  bucks"
"267","the service was not up to par either"
"268","thus far have only visited twice and the food was absolutely delicious each time"
"269","just as good as when i had it more than a year ago"
"270","for a self proclaimed coffee cafe i was wildly disappointed"
"271","the veggitarian platter is out of this world"
"272","you cant go wrong with any of the food here"
"273","you cant beat that"
"274","stopped by this place while in madison for the ironman very friendly kind staff"
"275","the chefs were friendly and did a good job"
"276","ive had better not only from dedicated boba tea spots but even from jenni pho"
"277","i liked the patio and the service was outstanding"
"278","the goat taco didnt skimp on the meat and wow what flavor"
"279","i think not again"
"280","i had the mac salad and it was pretty bland so i will not be getting that again"
"281","i went to bachi burger on a friends recommendation and was not disappointed"
"282","service stinks here"
"283","i waited and waited"
"284","this place is not quality sushi it is not a quality restaurant"
"285","i would definitely recommend the wings as well as the pizza"
"286","great pizza and salads"
"287","things that went wrong  they burned the saganaki"
"288","we waited an hour for what was a breakfast i could have done  times better at home"
"289","this place is amazing"
"290","i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place"
"291","waited  hours  never got either of our pizzas as many other around us who came in later did"
"292","just dont know why they were so slow"
"293","the staff is great the food is delish and they have an incredible beer selection"
"294","i live in the neighborhood so i am disappointed i wont be back here because it is a convenient location"
"295","i didnt know pulled pork could be soooo delicious"
"296","you get incredibly fresh fish prepared with care"
"297","before i go in to why i gave a  star rating please know that this was my third time eating at bachi burger before writing a review"
"298","i love the fact that everything on their menu is worth it"
"299","never again will i be dining at this place"
"300","the food was excellent and service was very good"
"301","good beer  drink selection and good food selection"
"302","please stay away from the shrimp stir fried noodles"
"303","the potato chip order was sad i could probably count how many chips were in that box and it was probably around "
"304","food was really boring"
"305","good servicecheck"
"306","this greedy corporation will never see another dime from me"
"307","will never ever go back"
"308","as much as id like to go back i cant get passed the atrocious service and will never return"
"309","in the summer you can dine in a charming outdoor patio  so very delightful"
"310","i did not expect this to be so good"
"311","fantastic food"
"312","she ordered a toasted english muffin that came out untoasted"
"313","the food was very good"
"314","never going back"
"315","great food for the price which is very high quality and house made"
"316","the bus boy on the other hand was so rude"
"317","by this point my friends and i had basically figured out this place was a joke and didnt mind making it publicly and loudly known"
"318","back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways"
"319","and considering the two of us left there very full and happy for about  you just cant go wrong"
"320","all the bread is made inhouse"
"321","the only downside is the service"
"322","also the fries are without a doubt the worst fries ive ever had"
"323","service was exceptional and food was a good as all the reviews"
"324","a couple of months later i returned and had an amazing meal"
"325","favorite place in town for shawarrrrrrma"
"326","the black eyed peas and sweet potatoes unreal"
"327","you wont be disappointed"
"328","they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good"
"329","i go to far too many places and ive never seen any restaurant that serves a  egg breakfast especially for "
"330","when my mom and i got home she immediately got sick and she only had a few bites of salad"
"331","the servers are not pleasant to deal with and they dont always honor pizza hut coupons"
"332","both of them were truly unbelievably good and i am so glad we went back"
"333","we had fantastic service and were pleased by the atmosphere"
"334","everything was gross"
"335","i love this place"
"336","great service and food"
"337","first  the bathrooms at this location were dirty seat covers were not replenished  just plain yucky"
"338","the burger i got the gold standard a  burger and was kind of disappointed"
"339","omg the food was delicioso"
"340","there is nothing authentic about this place"
"341","the spaghetti is nothing special whatsoever"
"342","of all the dishes the salmon was the best but all were great"
"343","the vegetables are so fresh and the sauce feels like authentic thai"
"344","its worth driving up from tucson"
"345","the selection was probably the worst ive seen in vegasthere was none"
"346","pretty good beer selection too"
"347","this place is like chipotle but better"
"348","classywarm atmosphere fun and fresh appetizers succulent steaks baseball steak"
"349"," stars for the brick oven bread app"
"350","i have eaten here multiple times and each time the food was delicious"
"351","we sat another ten minutes and finally gave up and left"
"352","he was terrible"
"353","everyone is treated equally special"
"354","it shouldnt take  min for pancakes and eggs"
"355","it was delicious"
"356","on the good side the staff was genuinely pleasant and enthusiastic  a real treat"
"357","sadly gordon ramseys steak is a place we shall sharply avoid during our next trip to vegas"
"358","as always the evening was wonderful and the food delicious"
"359","best fish ive ever had in my life"
"360","the bathroom is just next door and very nice"
"361","the buffet is small and all the food they offered was bland"
"362","this is an outstanding little restaurant with some of the best food i have ever tasted"
"363","pretty cool i would say"
"364","definitely a turn off for me  i doubt ill be back unless someone else is buying"
"365","server did a great job handling our large rowdy table"
"366","i find wasting food to be despicable but this just wasnt food"
"367","my wife had the lobster bisque soup which was lukewarm"
"368","would come back again if i had a sushi craving while in vegas"
"369","the staff are great the ambiance is great"
"370","he deserves  stars"
"371","i left with a stomach ache and felt sick the rest of the day"
"372","they dropped more than the ball"
"373","the dining space is tiny but elegantly decorated and comfortable"
"374","they will customize your order any way youd like my usual is eggplant with green bean stir fry love it"
"375","and the beans and rice were mediocre at best"
"376","best tacos in town by far"
"377","i took back my money and got outta there"
"378","in an interesting part of town this place is amazing"
"379","rude  inconsiderate management"
"380","the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first  minutes"
"381","i wont be back"
"382","they have great dinners"
"383","the service was outshining  i definitely recommend the halibut"
"384","the food was terrible"
"385","will never ever go back and have told many people what had happened"
"386","i dont recommend unless your car breaks down in front of it and you are starving"
"387","i will come back here every time im in vegas"
"388","this place deserves one star and  has to do with the food"
"389","this is a disgrace"
"390","def coming back to bowl next time"
"391","if you want healthy authentic or ethic food try this place"
"392","i will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area"
"393","i have been here several times in the past and the experience has always been great"
"394","we walked away stuffed and happy about our first vegas buffet experience"
"395","service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria"
"396","to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser"
"397","im probably one of the few people to ever go to ians and not like it"
"398","kids pizza is always a hit too with lots of great side dish options for the kiddos"
"399","service is perfect and the family atmosphere is nice to see"
"400","cooked to perfection and the service was impeccable"
"401","this one is simply a disappointment"
"402","overall i was very disappointed with the quality of food at bouchon"
"403","i dont have to be an accountant to know im getting screwed"
"404","great place to eat reminds me of the little mom and pop shops in the san francisco bay area"
"405","today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible"
"406","left very frustrated"
"407","ill definitely be in soon again"
"408","food was really good and i got full petty fast"
"409","service was fantastic"
"410","total waste of time"
"411","i dont know what kind it is but they have the best iced tea"
"412","come hungry leave happy and stuffed"
"413","for service i give them no stars"
"414","i can assure you that you wont be disappointed"
"415","i can take a little bad service but the food sucks"
"416","gave up trying to eat any of the crust teeth still sore"
"417","but now i was completely grossed out"
"418","i really enjoyed eating here"
"419","first time going but i think i will quickly become a regular"
"420","our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end"
"421","from what my dinner companions told meeverything was very fresh with nice texture and taste"
"422","on the ground right next to our table was a large smeared beensteppedinandtrackedeverywhere pile of green bird poop"
"423","furthermore you cant even find hours of operation on the website"
"424","weve tried to like this place but after  times i think were done with them"
"425","what a mistake that was"
"426","no complaints"
"427","this is some seriously good pizza and im an expertconnisseur on the topic"
"428","waiter was a jerk"
"429","strike  who wants to be rushed"
"430","these are the nicest restaurant owners ive ever come across"
"431","i never come again"
"432","we loved the biscuits"
"433","service is quick and friendly"
"434","ordered an appetizer and took  minutes and then the pizza another  minutes"
"435","so absolutley fantastic"
"436","it was a huge awkward lb piece of cow that was ths gristle and fat"
"437","definitely will come back here again"
"438","i like steiners because its dark and it feels like a bar"
"439","wow very spicy but delicious"
"440","if youre not familiar check it out"
"441","ill take my business dinner dollars elsewhere"
"442","id love to go back"
"443","anyway this fs restaurant has a wonderful breakfastlunch"
"444","nothing special"
"445","each day of the week they have a different deal and its all so delicious"
"446","not to mention the combination of pears almonds and bacon is a big winner"
"447","will not be back"
"448","sauce was tasteless"
"449","the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way"
"450","my ribeye steak was cooked perfectly and had great mesquite flavor"
"451","i dont think well be going back anytime soon"
"452","food was so gooodd"
"453","i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food"
"454","i was so insulted"
"455","the last  times i had lunch here has been bad"
"456","the chicken wings contained the driest chicken meat i have ever eaten"
"457","the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc"
"458","nargile  i think you are great"
"459","best tater tots in the southwest"
"460","we loved the place"
"461","definitely not worth the  i paid"
"462","the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough"
"463","im in az all the time and now have my new spot"
"464","the manager was the worst"
"465","the inside is really quite nice and very clean"
"466","the food was outstanding and the prices were very reasonable"
"467","i dont think ill be running back to carlys anytime soon for food"
"468","this is was due to the fact that it took  minutes to be acknowledged then another  minutes to get our foodand they kept forgetting things"
"469","love the margaritas too"
"470","this was my first and only vegas buffet and it did not disappoint"
"471","very good though"
"472","the one down note is the ventilation could use some upgrading"
"473","great pork sandwich"
"474","dont waste your time here"
"475","total letdown i would much rather just go to the camelback flower shop and cartel coffee"
"476","third the cheese on my friends burger was cold"
"477","we enjoy their pizza and brunch"
"478","the steaks are all well trimmed and also perfectly cooked"
"479","we had a group of  when we claimed we would only have  and they handled us beautifully"
"480","i loved it"
"481","we asked for the bill to leave without eating and they didnt bring that either"
"482","this place is a jewel in las vegas and exactly what ive been hoping to find in nearly ten years living here"
"483","seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh"
"484","the selection of food was not the best"
"485","delicious and i will absolutely be back"
"486","this isnt a small family restaurant this is a fine dining establishment"
"487","they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle"
"488","i dont think i will be back for a very long time"
"489","it was attached to a gas station and that is rarely a good sign"
"490","how awesome is that"
"491","i will be back many times soon"
"492","the menu had so much good stuff on it i could not decide"
"493","worse of all he humiliated his worker right in front of mebunch of horrible name callings"
"494","conclusion very filling meals"
"495","their daily specials are always a hit with my group"
"496","and then tragedy struck"
"497","the pancake was also really good and pretty large at that"
"498","this was my first crawfish experience and it was delicious"
"499","their monster chicken fried steak and eggs is my all time favorite"
"500","waitress was sweet and funny"
"501","i also had to taste my moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious"
"502","id rather eat airline food seriously"
"503","cant say enough good things about this place"
"504","the ambiance was incredible"
"505","the waitress and manager are so friendly"
"506","i would not recommend this place"
"507","overall i wasnt very impressed with noca"
"508","my gyro was basically lettuce only"
"509","terrible service"
"510","thoroughly disappointed"
"511","i dont each much pasta but i love the homemade hand made pastas and thin pizzas here"
"512","give it a try you will be happy you did"
"513","by far the best cheesecurds we have ever had"
"514","reasonably priced also"
"515","everything was perfect the night we were in"
"516","the food is very good for your typical bar food"
"517","it was a drive to get there"
"518","at first glance it is a lovely bakery cafe  nice ambiance clean friendly staff"
"519","anyway i do not think i will go back there"
"520","point your finger at any item on the menu order it and you wont be disappointed"
"521","oh this is such a thing of beauty this restaurant"
"522","if you havent gone here go now"
"523","a greasy unhealthy meal"
"524","first time there and might just be the last"
"525","those burgers were amazing"
"526","similarly the delivery man did not say a word of apology when our food was  minutes late"
"527","and it was way to expensive"
"528","be sure to order dessert even if you need to pack it togo  the tiramisu and cannoli are both to die for"
"529","this was my first time and i cant wait until the next"
"530","the bartender was also nice"
"531","everything was good and tasty"
"532","this place is two thumbs upway up"
"533","the best place in vegas for breakfast just check out a sat or sun"
"534","if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place"
"535","terrible management"
"536","an excellent new restaurant by an experienced frenchman"
"537","if there were zero stars i would give it zero stars"
"538","great steak great sides great wine amazing desserts"
"539","worst martini ever"
"540","the steak and the shrimp are in my opinion the best entrees at gc"
"541","i had the opportunity today to sample your amazing pizzas"
"542","we waited for thirty minutes to be seated although there were  vacant tables and we were the only folks waiting"
"543","the yellowtail carpaccio was melt in your mouth fresh"
"544","i wont try going back there even if its empty"
"545","no im going to eat the potato that i found some strangers hair in it"
"546","just spicy enough perfect actually"
"547","last night was my second time dining here and i was so happy i decided to go back"
"548","not even a hello we will be right with you"
"549","the desserts were a bit strange"
"550","my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service"
"551","i really do recommend this place you can go wrong with this donut place"
"552","nice ambiance"
"553","i would recommend saving room for this"
"554","i guess maybe we went on an off night but it was disgraceful"
"555","however my recent experience at this particular location was not so good"
"556","i know this is not like the other restaurants at all something is very off here"
"557","avoid this establishment"
"558","i think this restaurant suffers from not trying hard enough"
"559","all of the tapas dishes were delicious"
"560","i heart this place"
"561","my salad had a bland vinegrette on the baby greens and hearts of palm"
"562","after two i felt disgusting"
"563","a good time"
"564","i believe that this place is a great stop for those with a huge belly and hankering for sushi"
"565","generous portions and great taste"
"566","i will never go back to this place and will never ever recommended this place to anyone"
"567","the servers went back and forth several times not even so much as an are you being helped"
"568","food was delicious"
"569","an hour seriously"
"570","i consider this theft"
"571","eew this location needs a complete overhaul"
"572","we recently witnessed her poor quality of management towards other guests as well"
"573","waited and waited and waited"
"574","he also came back to check on us regularly excellent service"
"575","our server was super nice and checked on us many times"
"576","the pizza tasted old super chewy in not a good way"
"577","i swung in to give them a try but was deeply disappointed"
"578","service was good and the company was better"
"579","the staff are also very friendly and efficient"
"580","as for the service im a fan because its quick and youre being served by some nice folks"
"581","boy was that sucker dry"
"582","over rated"
"583","if you look for authentic thai food go else where"
"584","their steaks are  recommended"
"585","after i pulled up my car i waited for another  minutes before being acknowledged"
"586","great food and great service in a clean and friendly setting"
"587","all in all i can assure you ill be back"
"588","i hate those things as much as cheap quality black olives"
"589","my breakfast was perpared great with a beautiful presentation of  giant slices of toast lightly dusted with powdered sugar"
"590","the kids play area is nasty"
"591","great place fo take out or eat in"
"592","the waitress was friendly and happy to accomodate for veganveggie options"
"593","omg i felt like i had never eaten thai food until this dish"
"594","it was extremely crumby and pretty tasteless"
"595","it was a pale color instead of nice and char and has no flavor"
"596","the croutons also taste homemade which is an extra plus"
"597","i got home to see the driest damn wings ever"
"598","itll be a regular stop on my trips to phoenix"
"599","i really enjoyed crema caf before they expanded i even told friends they had the best breakfast"
"600","not good for the money"
"601","i miss it and wish they had one in philadelphia"
"602","we got sitting fairly fast but ended up waiting  minutes just to place our order another  minutes before the food arrived"
"603","they also have the best cheese crisp in town"
"604","good value great food great service"
"605","couldnt ask for a more satisfying meal"
"606","the food is good"
"607","it was awesome"
"608","i just wanted to leave"
"609","we made the drive all the way from north scottsdale and i was not one bit disappointed"
"610","i will not be eating there again"
"611","the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one"
"612","i checked out this place a couple years ago and was not impressed"
"613","the chicken i got was definitely reheated and was only ok the wedges were cold and soggy"
"614","sorry i will not be getting food from here anytime soon "
"615","an absolute must visit"
"616","the cow tongue and cheek tacos are amazing"
"617","my friend did not like his bloody mary"
"618","despite how hard i rate businesses its actually rare for me to give a  star"
"619","they really want to make your experience a good one"
"620","i will not return"
"621","i had the chicken pho and it tasted very bland"
"622","very disappointing"
"623","the grilled chicken was so tender and yellow from the saffron seasoning"
"624","a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait"
"625","pretty awesome place"
"626","ambience is perfect"
"627","best of luck to the rude and noncustomer service focused new management"
"628","any grandmother can make a roasted chicken better than this one"
"629","i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself"
"630","the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby"
"631","four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat "
"632","the roast beef sandwich tasted really good"
"633","same evening him and i are both drastically sick"
"634","highquality chicken on the chicken caesar salad"
"635","ordered burger rare came in well done"
"636","we were promptly greeted and seated"
"637","tried to go here for lunch and it was a madhouse"
"638","i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable"
"639","after waiting an hour and being seated i was not in the greatest of moods"
